,Unnamed: 0,Tweet,StopwordRemoval,Casefolding,Normalize,RemoveEmoticon,Stemming,HasilPreprocess,HasilProcess_lr,HasilProcess_svm,HasilProcess_dt,HasilProcess_nb,HasilProcess_stacking
0,0,RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO,RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO, spardaxyz fadli zon minta mendagri segera menonaktifkan ahok jadi gubernur dki https \/\/t.co\/khvirwpdo,RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO,RT @sparda : Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https: / /t.co /KH5vIRwPdO,rt spardaxyz fadli zon minta mendagri segera nonaktif ahok jadi gubernur dki https t co kh5virwpdo,sparda fadli zon menteri dalam negeri nonaktif ahok gubernur daerah khusus ibukota hypertext transfer protocol over secure socket layer t co khvirwpdo,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
1,1,RT @baguscondromowo: Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.,RT @baguscondromowo: Mereka melukai aksi rangka memenjarakan Ahok Ahok gagal Pilkada., baguscondromowo mereka terus melukai aksi dalam rangka memenjarakan ahok atau ahok gagal dalam pilkada.,RT @baguscondromowo: Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.,RT @baguscondromowo: Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.,rt baguscondromowo mereka terus luka aksi dalam rangka penjara ahok atau ahok gagal dalam pilkada,baguscondromowo luka aksi rangka penjara ahok ahok gagal pilkada,adalah ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian
2,2,Sylvi: bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu2 mau foto bareng #DebatFinalPilkadaJKT,Sylvi: gurbernur kekerasan perempuan? Buktinya ibu2 foto bareng #DebatFinalPilkadaJKT,sylvi bagaimana gurbernur melakukan kekerasan perempuan? buktinya banyak ibu mau foto bareng #debatfinalpilkadajkt,Sylvi: bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu ibu mau foto bareng #DebatFinalPilkadaJKT,Sylvi: bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu2 mau foto bareng #DebatFinalPilkadaJKT,sylvi bagaimana gurbernur laku keras perempuan bukti banyak ibu2 mau foto bareng debatfinalpilkadajkt,sylvi gurbernur keras perempuan bukti foto bareng debatfinalpilkadajkt,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
3,3,"Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026","Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan Bekasi Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026","ahmad dhani tak puas debat pilkada, masalah jalan di bekasi belum sempat terungkap https \/\/t.co\/mhoppluid\u","Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026","Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap https: / /t.co /m3HopPLUID u2026",ahmad dhani tak puas debat pilkada masalah jalan di bekas belum sempat ungkap https t co m3hoppluid u2026,ahmad dhani puas debat pilkada jalan bekas ungkap hypertext transfer protocol over secure socket layer t co mhoppluid kamu,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
4,4,RT @lisdaulay28: Waspada KTP palsu.....kawal PILKADA https:\/\/t.co\/OOoERQV4SM,RT @lisdaulay28: Waspada KTP palsu.....kawal PILKADA https:\/\/t.co\/OOoERQV4SM, lisdaulay waspada ktp palsu.....kawal pilkada https \/\/t.co\/oooerqvsm,RT @lisdaulay28: Waspada KTP palsu.....kawal PILKADA https:\/\/t.co\/OOoERQV4SM,RT @lisdaulay28: Waspada KTP palsu.....kawal PILKADA https: / /t.co /OOoERQV4SM,rt lisdaulay28 waspada ktp palsu kawal pilkada https t co oooerqv4sm,lisdaulay waspada kartu tanda duduk palsu kawal pilih kepala daerah hypertext transfer protocol over secure socket layer t co oooerqvsm,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
5,5,"@felixsiauw masih bnyak hal agamis yg bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????","@felixsiauw bnyak agamis yg dibahas, pilkada terus, tingkat keimanan sebatas pilkada????"," felixsiauw masih bnyak hal agamis yg bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????","@felixsiauw masih banyak hal agamis yang bisa dibahas, kenapa ke pilihan kepala daerah terus, apa tingkat keimanan anda cuma sebatas pilkada????","@feli auw masih bnyak hal agamis yg bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????",felixsiauw masih bnyak hal agam yg bisa bahas kenapa ke pilkada terus apa tingkat iman anda cuma batas pilkada,feli auw banyak agam yang bahas pilih kepala daerah terus tingkat iman batas pilkada,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
6,6,@saidaqil apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https:\/\/t.co\/H4ODVaY0Md,@saidaqil maksud pernyataan. Anda? Apa mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https:\/\/t.co\/H4ODVaY0Md, saidaqil apa maksud pernyataan. anda? apa anda mengaminkan kriminalisasi ahok?? hati jg dg mulutmu pak! https \/\/t.co\/hodvaymd,@saidaqil apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 juga dengan mulutmu pak! https:\/\/t.co\/H4ODVaY0Md,@saidaqil apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https: / /t.co /H4ODVaY0Md,saidaqil apa maksud nyata anda apa anda amin kriminalisasi ahok hati2 jg dg mulut pak https t co h4odvay0md,saidaqil maksud nyata anda amin kriminalisasi ahok hati juga dengan mulut pak hypertext transfer protocol over secure socket layer t co hodvaymd,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
7,7,Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun,Ahok Akan Integrasikan Transportasi Publik Sistem Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun,ahok akan integrasikan transpo asi publik dengan sistem single ticketing\u https \/\/t.co\/phpqvb #infotribun,Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun,Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing u2026 https: / /t.co /42PH7pqV0b #infoTribun,ahok akan integrasi transportasi publik dengan sistem single ticketing u2026 https t co 42ph7pqv0b infotribun,ahok integrasi transpo asi publik sistem single ticketing kamu hypertext transfer protocol over secure socket layer t co phpqvb infotribun,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
8,8,"Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well.","Ahok melawan korupsi ibukota, bangun infrastruktur, mencoba memperbaiki trobosan works well.","ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well.","Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well.","Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well.",ahok mampu lawan korupsi di ibukota bangun infrastruktur coba baik dengan bagai trobosan dan works well,ahok lawan korupsi ibukota bangun infrastruktur coba baik trobosan works well,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
9,9,"Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https:\/\/t.co\/xWZW4nUFIU","Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https:\/\/t.co\/xWZW4nUFIU","awasi kecurangan pilkada, agus - sylvi pakai aplikasi ini https \/\/t.co\/xwzwnufiu","Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https:\/\/t.co\/xWZW4nUFIU","Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https: / /t.co / W4nUFIU",awas curang pilkada agus - sylvi pakai aplikasi ini https t co xwzw4nufiu,awas curang pilkada agus - sylvi pakai aplikasi hypertext transfer protocol over secure socket layer t co wnufiu,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
